Mix Number,7 Day Compressive Strength (PSI),14 Day Compressive Strength (PSI),28 Day Compressive Strength (PSI),90 Day Compressive Strength (PSI), 7 Day Modulus of Rupture (PSI),14 Day Modulus of Rupture (PSI),28 Day Modulus of Rupture (PSI),90 Day Modulus of Rupture (PSI),7 Day Modulus of Elasticity (PSI),14 Day Modulus of Elasticity (PSI),28 Day Modulus of Elasticity (PSI),90 Day Modulus of Elasticity (PSI),7 Day Poisson's Ratio,14 DayPoisson's Ratio,28 Day Poisson's Ratio,90 Day Poisson's Ratio,7 Day Splitting Tensile Strength (PSI),14 Day Splitting Tensile Strength (PSI),28 Day Splitting Tensile Strength (PSI),90 Day Splitting Tensile Strength (PSI),28 Day Coefficient of Thermal Expansion (mm/mm/C),Mix Proportion Grade,Cement,SCM,Fine Aggregate,Coarse Aggregate,"AEA, Batch A (mL)","AEA, Batch B (mL)","% Air, Batch A","% Air, Batch B","Slump, Batch A (in)","Slump, Batch B (in)","Water Cement Ratio, Batch A (fraction)","Water Cement Ratio, Batch B (fraction)","Water Reducing Admixture, Batch A (mL)","Water Reducing Admixture, Batch B (mL)",REFERENCE: author
98,4312,5287,5764,6644,664,691,763,901,3800833,4042333,4295000,5840833,0.17,0.18,0.18,0.22,401,439,468,477,9.68E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,CS1,16,19,4.7,5.4,3,3,0.34,0.34,0,0,Cramer
99,4498,5302,5947,6758,543,621,623,732,4528000,4814167,5389333,5504000,0.19,0.16,0.18,0.17,507,516,492,536,8.63E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,CS2,20,20.5,5.6,4.9,2.25,2.25,0.37,0.37,0,0,Cramer
100,4669,5433,5919,7265,585,618,756,775,3494333,3343833,3813833,4784333,0.19,0.19,0.18,0.2,419,391,498,600,9.63E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,CS3,11,9,5.6,4.9,2.75,2.75,0.37,0.37,0,0,Cramer
101,4014,4535,5248,5960,508,575,666,795,4312167,4259167,4582333,5152333,0.17,0.15,0.15,0.19,381,412,460,467,9.33E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,GG1,21,22,5.4,5.8,2.25,3,0.35,0.35,0,0,Cramer
102,4747,5453,6085,7200,715,667,754,967,3866667,4141667,4546833,5261500,0.18,0.18,0.19,0.2,409,476,490,535,9.88E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,GG2,20,21,4.4,5,1.75,2.25,0.34,0.35,0,0,Cramer
103,4861,5562,6297,7307,651,710,756,911,3797167,4139333,4335500,5244167,0.18,0.18,0.19,0.2,479,478,511,537,9.88E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,CS1,19.5,21.5,4.5,4.5,1.75,2,0.34,0.35,0,0,Cramer
104,4437,5058,5778,6969,636,596,721,814,4572333,4829833,5194167,5138333,0.17,0.18,0.18,0.17,409,473,487,520,8.53E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,CS2,24,24,5.8,5.7,2.25,2,0.38,0.38,0,0,Cramer
105,4616,5562,6244,7661,618,677,725,849,3222000,3427667,3524833,4924333,0.19,0.19,0.18,0.21,315,374,471,579,9.61E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,CS3,21,22,4.7,5.3,1.25,2,0.37,0.37,0,0,Cramer
106,3923,4497,4792,5895,582,639,712,731,4204167,4371000,4458500,5138833,0.17,0.18,0.18,0.16,393,476,425,526,9.28E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,GG1,23,23,5.6,6.4,3,3,0.34,0.34,0,0,Cramer
107,4304,5060,5885,6793,595,661,664,788,3640500,3780500,4191500,5040167,0.18,0.17,0.2,0.19,403,416,478,541,9.86E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,GG2,21,21,5.9,6,3,3,0.35,0.35,0,0,Cramer
108,4725,5553,5944,7091,698,716,787,897,4059500,4116500,4448500,5130667,0.18,0.18,0.18,0.19,458,472,526,539,9.58E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,CS1,20,24,4.5,5.2,2.25,2.25,0.34,0.34,0,0,Cramer
109,4193,4849,5067,6448,602,685,775,782,4462000,4902500,5052500,5122167,0.18,0.2,0.19,0.18,407,489,481,525,8.74E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,CS2,25,25,5.8,6,3,3,0.38,0.38,0,0,Cramer
110,4819,5632,6565,7376,625,706,768,860,3099667,3575167,4040500,4887000,0.18,0.2,0.2,0.22,391,423,487,534,9.65E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,CS3,21,21,5.4,4.8,2.25,2.25,0.37,0.37,0,0,Cramer
